,,,,,,,,,,,,,,,Per_game,Per_game,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Shot Data,Shot Data,Shot Data,Shot Data,
Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Boston Bruins*,29.5,81,64,12,5,133,.821,296,170,4,3,1.56,-0.01,3.65,2.10,62,273,22.71,36,280,87.14,8,7,10.5,9.8,2682,11.0,2413,.930,7
2,Carolina Hurricanes*,29.3,81,51,21,9,111,.685,256,206,4,3,0.64,0.01,3.16,2.54,50,249,20.08,40,254,84.25,11,6,7.5,7.3,2816,9.1,2098,.902,9
3,New Jersey Devils*,26.7,81,51,22,8,110,.679,284,218,2,4,0.79,0.00,3.51,2.69,48,222,21.62,40,229,82.53,9,8,7.7,7.9,2787,10.2,2284,.905,4
4,Vegas Golden Knights*,29.1,81,50,22,9,109,.673,264,224,5,4,0.47,-0.04,3.26,2.77,42,205,20.49,44,191,76.96,9,4,7.1,7.9,2568,10.3,2502,.910,3
5,Toronto Maple Leafs*,28.6,81,49,21,11,109,.673,275,218,1,2,0.69,-0.01,3.40,2.69,64,245,26.12,44,246,82.11,8,8,8.5,8.5,2607,10.5,2396,.909,5
6,New York Rangers*,27.7,81,47,21,13,107,.660,271,213,4,3,0.72,-0.01,3.35,2.63,58,243,23.87,42,222,81.08,8,5,7.7,9.3,2558,10.6,2384,.911,4
7,Edmonton Oilers*,27.9,81,49,23,9,107,.660,320,254,0,4,0.71,-0.06,3.95,3.14,88,272,32.35,63,274,77.01,17,7,8.6,8.9,2718,11.8,2543,.900,2
8,Colorado Avalanche*,28.1,80,49,24,7,105,.656,266,218,6,3,0.59,-0.05,3.33,2.73,63,254,24.80,51,243,79.01,6,4,8.3,9.4,2668,10.0,2498,.913,6
9,Dallas Stars*,28.3,80,45,21,14,104,.650,275,213,4,3,0.73,-0.06,3.44,2.66,61,249,24.50,39,238,83.61,10,5,7.8,8.5,2546,10.8,2409,.912,5
10,Los Angeles Kings*,28.7,81,46,25,10,102,.630,269,251,6,3,0.26,0.00,3.32,3.10,66,261,25.29,65,267,75.66,7,9,8.6,9.4,2622,10.3,2265,.889,3
11,Minnesota Wild*,29.3,81,46,25,10,102,.630,236,215,7,6,0.22,-0.05,2.91,2.65,54,251,21.51,46,253,81.82,14,2,11.3,11.8,2511,9.4,2521,.915,5
12,Seattle Kraken,29.0,81,46,27,8,100,.617,288,249,0,4,0.38,-0.05,3.56,3.07,48,239,20.08,55,234,76.50,6,8,8.5,9.1,2466,11.7,2196,.887,3
13,Tampa Bay Lightning*,29.9,81,45,30,6,96,.593,275,252,3,2,0.32,0.02,3.40,3.11,70,278,25.18,53,259,79.54,7,11,12.2,12.4,2589,10.6,2550,.901,5
14,Winnipeg Jets,28.7,81,46,32,3,95,.586,245,220,1,1,0.25,-0.05,3.02,2.72,52,267,19.48,41,236,82.63,6,6,8.6,9.8,2467,9.9,2462,.911,4
15,Florida Panthers,28.6,81,42,31,8,92,.568,284,266,2,1,0.26,0.03,3.51,3.28,63,274,22.99,70,287,75.61,6,9,12.1,11.9,2985,9.5,2567,.896,3
16,New York Islanders,29.3,81,41,31,9,91,.562,238,215,1,5,0.24,0.01,2.94,2.65,34,219,15.53,39,218,82.11,6,6,8.0,8.0,2489,9.6,2525,.915,8
17,Calgary Flames,29.8,81,37,27,17,91,.562,255,246,2,5,0.04,-0.04,3.15,3.04,50,251,19.92,47,268,82.46,8,6,9.3,8.4,2899,8.8,2216,.889,1
18,Nashville Predators,28.4,80,41,31,8,90,.563,216,229,6,2,-0.14,-0.03,2.70,2.86,43,245,17.55,48,270,82.22,5,6,9.8,8.9,2367,9.1,2671,.914,2
19,Pittsburgh Penguins,31.0,81,40,31,10,90,.556,259,260,1,1,0.04,0.05,3.20,3.21,61,288,21.18,54,259,79.15,5,5,8.6,9.2,2782,9.3,2653,.902,2
